Name,LONG,LAT,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio20
GenSP,-81.1041666666666,-4.43749999999996,23.1919994354248,26.1586666107178,20.5073337554932,85.0000000000023,32.0000000000005,0,129.261627197264,67.0000000000009,2,62.0000000000011,5.00000000000044,11.6646661758423,67.2082672119142,239.250350952148,31.7360000610351,14.3800001144409,17.3559989929199,26.1040000915527,21.2266674041749,0.782647428792615
GenSP,-80.7708333333333,-4.06249999999996,23.9004993438721,25.742000579834,22.1206665039062,233,99.9999999999999,1.06581410364015e-14,145.902969360352,178,2.00000000000001,176,2.00000000000002,11.1116666793823,74.7756805419922,153.92463684082,30.9120006561279,16.0520000457764,14.8600006103516,25.7133331298828,22.1206665039063,0.688648235852238
GenSP,-80.7708333333333,-4.27083333333329,21.8365001678467,23.6326675415039,20.2140007019043,259.999999999999,122,0,160.676940917969,212,0,212,0,10.8656663894653,77.1271057128906,146.114242553711,28.3920001983643,14.3039999008179,14.0880002975464,23.6326675415039,20.3446655273438,0.588253430249075
GenSP,-80.6875,-1.39583333333329,23.0011672973634,24.3220005035401,21.865333557129,541.999999999987,129.999999999997,6.99999999999975,99.7537918090821,334.999999999992,21.9999999999999,334.999999999992,28.9999999999997,9.24633407592771,76.1641921997067,103.673843383791,28.8600006103517,16.7199993133546,12.1400012969971,24.3220005035401,21.9126663208009,0.655037184384638
GenSP,-80.6458333333333,-4.97916666666663,23.5030002593994,26.4606666564941,20.8606662750244,56,27,0,143.431198120117,47,0,46,0,11.8346662521362,66.8172225952148,235.804534912109,32.3400001525879,14.6280002593994,17.7119998931885,26.4526672363281,22.3146667480469,0.776567828675826
GenSP,-80.6041666666666,-4.56249999999996,23.8516674041748,26.1373329162598,21.7306671142578,165.000000000001,94.0000000000009,0.999999999999901,180.444259643556,139.000000000001,2.9999999999999,132.000000000001,2.9999999999999,12.2473335266113,73.3900604248046,186.644256591797,31.7360000610352,15.0480003356934,16.6879997253418,26.0680007934571,21.7306671142578,0.676868490170775
GenSP,-80.5625,-0.979166666666625,24.9138336181641,25.978666305542,23.9400005340576,381.999999999992,97.9999999999986,4.99999999999974,108.51466369629,257.999999999996,18.9999999999994,242.999999999996,18.9999999999994,9.40499973297119,78.2445983886718,86.7108917236334,30.6679992675781,18.6480007171631,12.019998550415,25.8413333892823,23.9400005340576,0.694802030490949
GenSP,-80.5625,-6.2708333333333,22.1513328552246,25.6459999084473,19.2393341064453,26.0000000000004,20.0000000000001,0,179.565490722655,24.0000000000001,0,24.0000000000001,1.00000000000013,9.92000007629397,58.4354400634766,268.09896850586,31.3199996948242,14.3439998626709,16.9759998321534,25.6459999084473,20.8940010070801,0.747413206660939
GenSP,-80.5208333333333,-3.72916666666663,24.9053344726562,26.3306674957275,23.5240001678467,301,107,1,130.140701293946,218,3,210,3,10.1239995956421,77.4006118774415,119.770195007324,31.1760005950928,18.0960006713867,13.0799999237061,26.2473335266113,23.5240001678467,0.685575274484255
GenSP,-80.4791666666666,-5.97916666666663,22.7399997711182,26.0926666259766,19.8553333282471,40.9999999999999,28,0,179.181167602539,36,0,36,0,11.8059997558594,63.4321899414063,261.678161621094,32.5040016174316,13.8920001983643,18.6120014190674,26.0926666259766,21.4106674194336,0.746193771879075
